id,baseValueM5,baseValueM4,baseValueM3,baseValueM2,baseValueM1,baseValue,baseValueP1,baseValueP2,baseValueP3,baseValueP4,baseValueP5
FCUSp4,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
FCUSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,0.11,0.23,0.34,0.45,0.57
FCUSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FCUSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FCUSp3V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
FCUSp4V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
CLSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
CLSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
CLSp2,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
CLSp3,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
CLSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
CLSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
CLSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
CLSp2V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
CLSp3V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
CLSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FCLSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FCLSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FCLSp2,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FCLSp3,-1.45,-1.16,-0.87,-0.58,-0.29,2.90,0.29,0.58,0.87,1.16,1.45
FCLSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
FCLSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FCLSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FCLSp2V,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
FCLSp3V,-1.09,-0.87,-0.65,-0.44,-0.22,2.18,0.22,0.44,0.65,0.87,1.09
FCLSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
CCSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
CCSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
CCSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
CCSp3,-1.40,-1.12,-0.84,-0.56,-0.28,2.80,0.28,0.56,0.84,1.12,1.40
CCSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
CCSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
CCSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
CCSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
CCSp3V,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
CCSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
FCCSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FCCSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FCCSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
FCCSp3,-1.40,-1.12,-0.84,-0.56,-0.28,2.80,0.28,0.56,0.84,1.12,1.40
FCCSp4,-1.60,-1.28,-0.96,-0.64,-0.32,3.20,0.32,0.64,0.96,1.28,1.60
FCCSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FCCSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FCCSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
FCCSp3V,-1.05,-0.84,-0.63,-0.42,-0.21,2.10,0.21,0.42,0.63,0.84,1.05
FCCSp4V,-1.20,-0.96,-0.72,-0.48,-0.24,2.40,0.24,0.48,0.72,0.96,1.20
CSSpB,-0.80,-0.64,-0.48,-0.32,-0.16,1.60,0.16,0.32,0.48,0.64,0.80
CSSp1,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
CSSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
CSSp3,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
CSSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
CSSpBV,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
CSSp1V,-0.72,-0.57,-0.43,-0.29,-0.14,1.43,0.14,0.29,0.43,0.57,0.72
CSSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
CSSp3V,-0.98,-0.78,-0.59,-0.39,-0.20,1.95,0.20,0.39,0.59,0.78,0.98
CSSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
FCSSpB,-0.80,-0.64,-0.48,-0.32,-0.16,1.60,0.16,0.32,0.48,0.64,0.80
FCSSp1,-0.95,-0.76,-0.57,-0.38,-0.19,1.90,0.19,0.38,0.57,0.76,0.95
FCSSp2,-1.15,-0.92,-0.69,-0.46,-0.23,2.30,0.23,0.46,0.69,0.92,1.15
FCSSp3,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
FCSSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
FCSSpBV,-0.60,-0.48,-0.36,-0.24,-0.12,1.20,0.12,0.24,0.36,0.48,0.60
FCSSp1V,-0.72,-0.57,-0.43,-0.29,-0.14,1.43,0.14,0.29,0.43,0.57,0.72
FCSSp2V,-0.87,-0.69,-0.52,-0.35,-0.17,1.73,0.17,0.35,0.52,0.69,0.87
FCSSp3V,-0.98,-0.78,-0.59,-0.39,-0.20,1.95,0.20,0.39,0.59,0.78,0.98
FCSSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
CoSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
CoSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
CoSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
CoSp3,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,0.25,0.50,0.75,1.00,1.25
CoSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
CoSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,0.11,0.23,0.34,0.45,0.57
CoSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
CoSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
CoSp3V,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,0.19,0.38,0.56,0.75,0.94
CoSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
FCoSpB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FCoSp1,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FCoSp2,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FCoSp3,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,0.25,0.50,0.75,1.00,1.25
FCoSp4,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
FCoSpBV,-0.57,-0.45,-0.34,-0.23,-0.11,1.13,0.11,0.23,0.34,0.45,0.57
FCoSp1V,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FCoSp2V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FCoSp3V,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,0.19,0.38,0.56,0.75,0.94
FCoSp4V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
CCoSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
CCoSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
CCoSp2,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,0.25,0.50,0.75,1.00,1.25
CCoSp3,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
CCoSp4,-1.75,-1.40,-1.05,-0.70,-0.35,3.50,0.35,0.70,1.05,1.40,1.75
CCoSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
CCoSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
CCoSp2V,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,0.19,0.38,0.56,0.75,0.94
CCoSp3V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
CCoSp4V,-1.32,-1.05,-0.79,-0.53,-0.26,2.63,0.26,0.53,0.79,1.05,1.32
FCCoSpB,-0.85,-0.68,-0.51,-0.34,-0.17,1.70,0.17,0.34,0.51,0.68,0.85
FCCoSp1,-1.00,-0.80,-0.60,-0.40,-0.20,2.00,0.20,0.40,0.60,0.80,1.00
FCCoSp2,-1.25,-1.00,-0.75,-0.50,-0.25,2.50,0.25,0.50,0.75,1.00,1.25
FCCoSp3,-1.50,-1.20,-0.90,-0.60,-0.30,3.00,0.30,0.60,0.90,1.20,1.50
FCCoSp4,-1.75,-1.40,-1.05,-0.70,-0.35,3.50,0.35,0.70,1.05,1.40,1.75
FCCoSpBV,-0.64,-0.51,-0.38,-0.26,-0.13,1.28,0.13,0.26,0.38,0.51,0.64
FCCoSp1V,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
FCCoSp2V,-0.94,-0.75,-0.56,-0.38,-0.19,1.88,0.19,0.38,0.56,0.75,0.94
FCCoSp3V,-1.13,-0.90,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.90,1.13
FCCoSp4V,-1.32,-1.05,-0.79,-0.53,-0.26,2.63,0.26,0.53,0.79,1.05,1.32
StSqB,-0.75,-0.60,-0.45,-0.30,-0.15,1.50,0.15,0.30,0.45,0.60,0.75
StSq1,-0.90,-0.72,-0.54,-0.36,-0.18,1.80,0.18,0.36,0.54,0.72,0.90
StSq2,-1.30,-1.04,-0.78,-0.52,-0.26,2.60,0.26,0.52,0.78,1.04,1.30
StSq3,-1.65,-1.32,-0.99,-0.66,-0.33,3.30,0.33,0.66,0.99,1.32,1.65
StSq4,-1.95,-1.56,-1.17,-0.78,-0.39,3.90,0.39,0.78,1.17,1.56,1.95
ChSq1,-2.50,-2.00,-1.50,-1.00,-0.50,3.00,0.50,1.00,1.50,2.00,2.50
